Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,4910.000000,4920.000000,4820.000000,4870.000000,4515.333008,100200100
2023-01-03,4830.000000,4900.000000,4830.000000,4850.000000,4496.789551,95136500
2023-01-04,4850.000000,4850.000000,4770.000000,4770.000000,4422.615723,188071000
2023-01-05,4750.000000,4760.000000,4570.000000,4640.000000,4302.083008,292142000
2023-01-06,4550.000000,4640.000000,4550.000000,4620.000000,4283.539551,175932000
2023-01-09,4580.000000,4640.000000,4550.000000,4590.000000,4255.724609,166164900
2023-01-10,4550.000000,4570.000000,4410.000000,4430.000000,4159.024902,282510000
2023-01-11,4410.000000,4430.000000,4360.000000,4380.000000,4112.083496,211610100
2023-01-12,4480.000000,4520.000000,4410.000000,4500.000000,4224.743164,210887800
2023-01-13,4510.000000,4530.000000,4420.000000,4480.000000,4205.966309,134592100
2023-01-16,4430.000000,4530.000000,4420.000000,4520.000000,4243.519531,172170900
2023-01-17,4520.000000,4580.000000,4510.000000,4560.000000,4281.072754,150577400
2023-01-18,4560.000000,4620.000000,4560.000000,4600.000000,4318.626465,178026000
2023-01-19,4590.000000,4630.000000,4580.000000,4610.000000,4328.014648,117204100
2023-01-20,4630.000000,4670.000000,4620.000000,4650.000000,4365.567871,116038300
2023-01-24,4660.000000,4680.000000,4590.000000,4620.000000,4337.402832,81964700
2023-01-25,4620.000000,4620.000000,4550.000000,4560.000000,4281.072754,84009300
2023-01-26,4560.000000,4620.000000,4550.000000,4590.000000,4309.238281,113840400
2023-01-27,4600.000000,4680.000000,4600.000000,4640.000000,4356.179688,178282600
2023-01-30,4650.000000,4680.000000,4570.000000,4610.000000,4328.014648,185972400
2023-01-31,4610.000000,4620.000000,4570.000000,4580.000000,4299.849609,280039200
2023-02-01,4630.000000,4690.000000,4620.000000,4680.000000,4393.732910,181849300
2023-02-02,4650.000000,4680.000000,4600.000000,4600.000000,4318.626465,145413400
2023-02-03,4650.000000,4780.000000,4630.000000,4750.000000,4459.451172,198479900
2023-02-06,4780.000000,4810.000000,4680.000000,4740.000000,4450.062500,141366300
2023-02-07,4740.000000,4790.000000,4720.000000,4750.000000,4459.451172,140923100
2023-02-08,4710.000000,4790.000000,4710.000000,4790.000000,4497.004395,168599500
2023-02-09,4790.000000,4840.000000,4770.000000,4810.000000,4515.781250,177400700
2023-02-10,4840.000000,4880.000000,4770.000000,4860.000000,4562.722656,181146600
2023-02-13,4900.000000,4900.000000,4800.000000,4800.000000,4506.392578,144569400
2023-02-14,4820.000000,4870.000000,4810.000000,4870.000000,4572.110840,120995200
2023-02-15,4890.000000,4890.000000,4810.000000,4870.000000,4572.110840,84568100
2023-02-16,4890.000000,4890.000000,4850.000000,4870.000000,4572.110840,69966200
